name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
12n_777	[1, 2]	3	3	4	0	2-8*t+ 14*t^2-17*t^3+ 14*t^4-8*t^5+ 2*t^6	t^(-8)-3*t^(-7)+ 5*t^(-6)-8*t^(-5)+ 10*t^(-4)-10*t^(-3)+ 10*t^(-2)-8*t^(-1)+ 6-3*t+ t^2	(1)+ (2*v^(-6)-2*v^(-4)-2*v^(-2)+ 2)*z^2+ (v^(-6)-3*v^(-4)-3*v^(-2)+ 1)*z^4+ (-v^(-4)-v^(-2))*z^6	65	14.31513021
12n_778	2	3	3	4	-4	3-11*t+ 18*t^2-21*t^3+ 18*t^4-11*t^5+ 3*t^6	2-4*t+ 8*t^2-11*t^3+ 13*t^4-14*t^5+ 13*t^6-10*t^7+ 6*t^8-3*t^9+ t^10	(4*v^2-5*v^4+ 2*v^6)+ (6*v^2-10*v^4+ v^6+ 2*v^8)*z^2+ (2*v^2-8*v^4-2*v^6+ v^8)*z^4+ (-2*v^4-v^6)*z^6	85	14.71593965
12n_779	2	3	3	4	-2	2-11*t+ 26*t^2-33*t^3+ 26*t^4-11*t^5+ 2*t^6	-t^(-2)+ 5*t^(-1)-9+ 14*t-18*t^2+ 19*t^3-17*t^4+ 14*t^5-9*t^6+ 4*t^7-t^8	(2-3*v^2+ 3*v^4-v^6)+ (-2*v^2+ 3*v^4-v^6)*z^2+ (-1+ v^2+ 2*v^4-v^6)*z^4+ (v^2+ v^4)*z^6	111	16.84807969
12n_780	[1, 2]	3	3	5	0	1-8*t+ 19*t^2-25*t^3+ 19*t^4-8*t^5+ t^6	-t^(-3)+ 3*t^(-2)-7*t^(-1)+ 11-12*t+ 14*t^2-12*t^3+ 10*t^4-7*t^5+ 3*t^6-t^7	(-v^(-2)+ 1+ 2*v^2-v^6)+ (-v^(-2)+ 3+ 3*v^4-v^6)*z^2+ (2-2*v^2+ 2*v^4)*z^4+ (-v^2)*z^6	81	15.9614018
12n_781	2	4	3	4	0	1-4*t+ 10*t^2-19*t^3+ 25*t^4-19*t^5+ 10*t^6-4*t^7+ t^8	-t^(-5)+ 3*t^(-4)-7*t^(-3)+ 12*t^(-2)-14*t^(-1)+ 16-15*t+ 12*t^2-8*t^3+ 4*t^4-t^5	(-2*v^(-2)+ 6-4*v^2+ v^4)+ (-6*v^(-2)+ 14-7*v^2)*z^2+ (-4*v^(-2)+ 14-4*v^2)*z^4+ (-v^(-2)+ 6-v^2)*z^6+ (1)*z^8	93	16.19125881
12n_782	[1, 2]	3	3	4	0	2-8*t+ 18*t^2-25*t^3+ 18*t^4-8*t^5+ 2*t^6	t^(-6)-3*t^(-5)+ 7*t^(-4)-10*t^(-3)+ 12*t^(-2)-14*t^(-1)+ 13-10*t+ 7*t^2-3*t^3+ t^4	(2*v^(-4)-2*v^(-2)-1+ 2*v^2)+ (2*v^(-4)-4*v^(-2)-4+ 2*v^2)*z^2+ (v^(-4)-3*v^(-2)-3+ v^2)*z^4+ (-v^(-2)-1)*z^6	81	15.26400213
12n_783	[1, 2]	3	3	5	-2	2-11*t+ 30*t^2-41*t^3+ 30*t^4-11*t^5+ 2*t^6	t^(-1)-5+ 11*t-16*t^2+ 21*t^3-21*t^4+ 20*t^5-16*t^6+ 10*t^7-5*t^8+ t^9	(-v^2+ 5*v^4-3*v^6)+ (1-4*v^2+ 11*v^4-5*v^6+ v^8)*z^2+ (-3*v^2+ 7*v^4-3*v^6)*z^4+ (2*v^4)*z^6	127	18.17980856
12n_784	[1, 2]	4	3	5	-2	1-6*t+ 15*t^2-25*t^3+ 29*t^4-25*t^5+ 15*t^6-6*t^7+ t^8	-t^(-4)+ 4*t^(-3)-9*t^(-2)+ 14*t^(-1)-18+ 21*t-19*t^2+ 17*t^3-12*t^4+ 6*t^5-2*t^6	(-v^(-2)+ 2+ v^4-v^6)+ (-2*v^(-2)+ 7-6*v^2+ 5*v^4-v^6)*z^2+ (-v^(-2)+ 7-9*v^2+ 4*v^4)*z^4+ (2-5*v^2+ v^4)*z^6+ (-v^2)*z^8	123	17.94782949
12n_785	1	2	3	5	2	6-23*t+ 33*t^2-23*t^3+ 6*t^4	t^(-9)-3*t^(-8)+ 6*t^(-7)-10*t^(-6)+ 13*t^(-5)-15*t^(-4)+ 15*t^(-3)-12*t^(-2)+ 9*t^(-1)-5+ 2*t	(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (v^(-8)+ v^(-6)-4*v^(-4)-v^(-2)+ 2)*z^2+ (-v^(-6)-3*v^(-4)-2*v^(-2))*z^4	91	15.17406533
12n_786	1	3	3	5	-2	2-12*t+ 33*t^2-45*t^3+ 33*t^4-12*t^5+ 2*t^6	-t^(-2)+ 5*t^(-1)-11+ 17*t-21*t^2+ 24*t^3-22*t^4+ 18*t^5-12*t^6+ 6*t^7-2*t^8	(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2+ (-1+ v^2+ v^4-v^6)*z^4+ (v^2+ v^4)*z^6	139	18.06006868
